"fecha","count"
2017-01-01,5
2017-01-02,19
2017-01-03,19
2017-01-04,56
2017-01-05,30
2017-01-06,13
2017-01-07,20
2017-01-08,14
2017-01-09,24
2017-01-10,18
2017-01-11,28
2017-01-12,32
2017-01-13,22
2017-01-14,28
2017-01-15,20
2017-01-16,47
2017-01-17,34
2017-01-18,47
2017-01-19,48
2017-01-20,48
2017-01-21,78
2017-01-22,27
2017-01-23,51
2017-01-24,72
2017-01-25,74
2017-01-26,48
2017-01-27,54
2017-01-28,53
2017-01-29,30
2017-01-30,84
2017-01-31,72
2017-02-01,33
2017-02-02,27
2017-02-03,45
2017-02-04,26
2017-02-05,28
2017-02-06,53
2017-02-07,49
2017-02-08,51
2017-02-09,27
2017-02-10,50
2017-02-11,77
2017-02-12,84
2017-02-13,54
2017-02-14,45
2017-02-15,54
2017-02-16,51
2017-02-17,36
2017-02-18,38
2017-02-19,28
2017-02-20,48
2017-02-21,30
2017-02-22,69
2017-02-23,39
2017-02-24,63
2017-02-25,42
2017-02-26,27
2017-02-27,60
2017-02-28,72
2017-03-01,63
2017-03-02,210
2017-03-03,144
2017-03-04,103
2017-03-05,54
2017-03-06,87
2017-03-07,58
2017-03-08,63
2017-03-09,63
2017-03-10,45
2017-03-11,33
2017-03-12,30
2017-03-13,61
2017-03-14,36
2017-03-15,39
2017-03-16,58
2017-03-17,33
2017-03-18,39
2017-03-19,33
2017-03-20,30
2017-03-21,69
2017-03-22,63
2017-03-23,76
2017-03-24,40
2017-03-25,69
2017-03-26,36
2017-03-27,45
2017-03-28,42
2017-03-29,54
2017-03-30,63
2017-03-31,57
2017-04-01,54
2017-04-02,18
2017-04-03,69
2017-04-04,60
2017-04-05,59
2017-04-06,48
2017-04-07,38
2017-04-08,40
2017-04-09,9
2017-04-10,48
2017-04-11,39
2017-04-12,51
2017-04-13,36
2017-04-14,12
2017-04-15,48
2017-04-16,21
2017-04-17,24
2017-04-18,24
2017-04-19,60
2017-04-20,54
2017-04-21,39
2017-04-22,60
2017-04-23,59
2017-04-24,47
2017-04-25,68
2017-04-26,42
2017-04-27,35
2017-04-28,54
2017-04-29,81
2017-04-30,21
2017-05-01,12
2017-05-02,33
2017-05-03,75
2017-05-04,58
2017-05-05,57
2017-05-06,81
2017-05-07,45
2017-05-08,60
2017-05-09,39
2017-05-10,42
2017-05-11,54
2017-05-12,39
2017-05-13,54
2017-05-14,26
2017-05-15,59
2017-05-16,48
2017-05-17,63
2017-05-18,51
2017-05-19,42
2017-05-20,50
2017-05-21,18
2017-05-22,63
2017-05-23,60
2017-05-24,39
2017-05-25,30
2017-05-26,54
2017-05-27,44
2017-05-28,29
2017-05-29,57
2017-05-30,54
2017-05-31,46
2017-06-01,99
2017-06-02,64
2017-06-03,60
2017-06-04,27
2017-06-05,45
2017-06-06,42
2017-06-07,72
2017-06-08,68
2017-06-09,60
2017-06-10,45
2017-06-11,42
2017-06-12,54
2017-06-13,57
2017-06-14,72
2017-06-15,48
2017-06-16,63
2017-06-17,51
2017-06-18,27
2017-06-19,63
2017-06-20,72
2017-06-21,62
2017-06-22,80
2017-06-23,81
2017-06-24,106
2017-06-25,42
2017-06-26,48
2017-06-27,60
2017-06-28,57
2017-06-29,48
2017-06-30,57
2017-07-01,79
2017-07-02,60
2017-07-03,57
2017-07-04,79
2017-07-05,44
2017-07-06,54
2017-07-07,45
2017-07-08,48
2017-07-09,48
2017-07-10,45
2017-07-11,54
2017-07-12,27
2017-07-13,84
2017-07-14,54
2017-07-15,70
2017-07-16,36
2017-07-17,47
2017-07-18,39
2017-07-19,46
2017-07-20,66
2017-07-21,54
2017-07-22,78
2017-07-23,36
2017-07-24,60
2017-07-25,39
2017-07-26,65
2017-07-27,51
2017-07-28,37
2017-07-29,64
2017-07-30,19
2017-07-31,57
2017-08-01,60
2017-08-02,59
2017-08-03,65
2017-08-04,57
2017-08-05,51
2017-08-06,24
2017-08-07,63
2017-08-08,42
2017-08-09,84
2017-08-10,84
2017-08-11,92
2017-08-12,57
2017-08-13,51
2017-08-14,94
2017-08-15,33
2017-08-16,60
2017-08-17,54
2017-08-18,74
2017-08-19,48
2017-08-20,30
2017-08-21,57
2017-08-22,98
2017-08-23,83
2017-08-24,49
2017-08-25,94
2017-08-26,78
2017-08-27,48
2017-08-28,99
2017-08-29,55
2017-08-30,75
2017-08-31,39
2017-09-01,75
2017-09-02,94
2017-09-03,41
2017-09-04,63
2017-09-05,42
2017-09-06,48
2017-09-07,87
2017-09-08,48
2017-09-09,105
2017-09-10,30
2017-09-11,51
2017-09-12,75
2017-09-13,92
2017-09-14,71
2017-09-15,69
2017-09-16,39
2017-09-17,48
2017-09-18,102
2017-09-19,51
2017-09-20,90
2017-09-21,66
2017-09-22,48
2017-09-23,53
2017-09-24,27
2017-09-25,54
2017-09-26,64
2017-09-27,81
2017-09-28,65
2017-09-29,45
2017-09-30,42
2017-10-01,18
2017-10-02,325
2017-10-03,369
2017-10-04,138
2017-10-05,112
2017-10-06,62
2017-10-07,60
2017-10-08,42
2017-10-09,89
2017-10-10,56
2017-10-11,45
2017-10-12,30
2017-10-13,76
2017-10-14,66
2017-10-15,24
2017-10-16,87
2017-10-17,63
2017-10-18,63
2017-10-19,63
2017-10-20,48
2017-10-21,63
2017-10-22,33
2017-10-23,66
2017-10-24,51
2017-10-25,75
2017-10-26,84
2017-10-27,63
2017-10-28,57
2017-10-29,33
2017-10-30,54
2017-10-31,42
2017-11-01,48
2017-11-02,60
2017-11-03,57
2017-11-04,69
2017-11-05,18
2017-11-06,60
2017-11-07,78
2017-11-08,46
2017-11-09,66
2017-11-10,78
2017-11-11,74
2017-11-12,36
2017-11-13,51
2017-11-14,51
2017-11-15,68
2017-11-16,75
2017-11-17,63
2017-11-18,42
2017-11-19,36
2017-11-20,66
2017-11-21,60
2017-11-22,30
2017-11-23,72
2017-11-24,45
2017-11-25,63
2017-11-26,15
2017-11-27,54
2017-11-28,42
2017-11-29,36
2017-11-30,75
2017-12-01,66
2017-12-02,42
2017-12-03,48
2017-12-04,51
2017-12-05,60
2017-12-06,42
2017-12-07,48
2017-12-08,36
2017-12-09,73
2017-12-10,30
2017-12-11,54
2017-12-12,54
2017-12-13,81
2017-12-14,60
2017-12-15,75
2017-12-16,87
2017-12-17,18
2017-12-18,48
2017-12-19,60
2017-12-20,33
2017-12-21,60
2017-12-22,24
2017-12-23,96
2017-12-24,51
2017-12-25,21
2017-12-26,51
2017-12-27,57
2017-12-28,59
2017-12-29,45
2017-12-30,116
2017-12-31,39
2018-01-01,9
2018-01-02,58
2018-01-03,69
2018-01-04,48
2018-01-05,54
2018-01-06,36
2018-01-07,45
2018-01-08,81
2018-01-09,60
2018-01-10,66
2018-01-11,33
2018-01-12,48
2018-01-13,77
2018-01-14,36
2018-01-15,45
2018-01-16,39
2018-01-17,60
2018-01-18,73
2018-01-19,54
2018-01-20,30
2018-01-21,27
2018-01-22,63
2018-01-23,66
2018-01-24,39
2018-01-25,66
2018-01-26,51
2018-01-27,45
2018-01-28,21
2018-01-29,51
2018-01-30,30
2018-01-31,30
2018-02-01,50
2018-02-02,51
2018-02-03,39
2018-02-04,39
2018-02-05,54
2018-02-06,37
2018-02-07,27
2018-02-08,69
2018-02-09,82
2018-02-10,69
2018-02-11,33
2018-02-12,51
2018-02-13,81
2018-02-14,50
2018-02-15,63
2018-02-16,51
2018-02-17,24
2018-02-18,45
2018-02-19,48
2018-02-20,84
2018-02-21,54
2018-02-22,70
2018-02-23,51
2018-02-24,53
2018-02-25,42
2018-02-26,20
2018-02-27,48
2018-02-28,45
2018-03-01,60
2018-03-02,51
2018-03-03,72
2018-03-04,36
2018-03-05,45
2018-03-06,53
2018-03-07,45
2018-03-08,59
2018-03-09,36
2018-03-10,45
2018-03-11,35
2018-03-12,57
2018-03-13,171
2018-03-14,60
2018-03-15,45
2018-03-16,66
2018-03-17,84
2018-03-18,39
2018-03-19,60
2018-03-20,67
2018-03-21,51
2018-03-22,67
2018-03-23,39
2018-03-24,45
2018-03-25,33
2018-03-26,51
2018-03-27,53
2018-03-28,33
2018-03-29,60
2018-03-30,33
2018-03-31,61
2018-04-01,30
2018-04-02,42
2018-04-03,61
2018-04-04,51
2018-04-05,60
2018-04-06,48
2018-04-07,54
2018-04-08,42
2018-04-09,63
2018-04-10,51
2018-04-11,48
2018-04-12,60
2018-04-13,51
2018-04-14,33
2018-04-15,30
2018-04-16,66
2018-04-17,90
2018-04-18,54
2018-04-19,57
2018-04-20,54
2018-04-21,57
2018-04-22,31
2018-04-23,45
2018-04-24,69
2018-04-25,122
2018-04-26,69
2018-04-27,33
2018-04-28,39
2018-04-29,15
2018-04-30,57
2018-05-01,34
2018-05-02,60
2018-05-03,54
2018-05-04,66
2018-05-05,42
2018-05-06,27
2018-05-07,54
2018-05-08,65
2018-05-09,72
2018-05-10,129
2018-05-11,78
2018-05-12,48
2018-05-13,27
2018-05-14,57
2018-05-15,53
2018-05-16,48
2018-05-17,60
2018-05-18,44
2018-05-19,57
2018-05-20,20
2018-05-21,99
2018-05-22,66
2018-05-23,60
2018-05-24,62
2018-05-25,51
2018-05-26,66
2018-05-27,39
2018-05-28,39
2018-05-29,57
2018-05-30,33
2018-05-31,48
2018-06-01,27
2018-06-02,41
2018-06-03,60
2018-06-04,91
2018-06-05,102
2018-06-06,57
2018-06-07,73
2018-06-08,58
2018-06-09,45
2018-06-10,42
2018-06-11,66
2018-06-12,54
2018-06-13,75
2018-06-14,61
2018-06-15,57
2018-06-16,48
2018-06-17,39
2018-06-18,63
2018-06-19,33
2018-06-20,54
2018-06-21,54
2018-06-22,39
2018-06-23,54
2018-06-24,45
2018-06-25,50
2018-06-26,99
2018-06-27,66
2018-06-28,81
2018-06-29,52
2018-06-30,72
2018-07-01,30
2018-07-02,88
2018-07-03,57
2018-07-04,69
2018-07-05,87
2018-07-06,60
2018-07-07,59
2018-07-08,42
2018-07-09,60
2018-07-10,30
2018-07-11,63
2018-07-12,63
2018-07-13,93
2018-07-14,51
2018-07-15,42
2018-07-16,48
2018-07-17,51
2018-07-18,90
2018-07-19,57
2018-07-20,66
2018-07-21,48
2018-07-22,39
2018-07-23,207
2018-07-24,87
2018-07-25,60
2018-07-26,73
2018-07-27,48
2018-07-28,57
2018-07-29,33
2018-07-30,42
2018-07-31,74
2018-08-01,69
2018-08-02,54
2018-08-03,69
2018-08-04,78
2018-08-05,45
2018-08-06,93
2018-08-07,111
2018-08-08,65
2018-08-09,54
2018-08-10,86
2018-08-11,57
2018-08-12,29
2018-08-13,60
2018-08-14,39
2018-08-15,33
2018-08-16,45
2018-08-17,48
2018-08-18,77
2018-08-19,42
2018-08-20,66
2018-08-21,78
2018-08-22,118
2018-08-23,60
2018-08-24,71
2018-08-25,51
2018-08-26,41
2018-08-27,108
2018-08-28,95
2018-08-29,54
2018-08-30,60
2018-08-31,88
2018-09-01,84
2018-09-02,30
2018-09-03,78
2018-09-04,63
2018-09-05,81
2018-09-06,64
2018-09-07,69
2018-09-08,64
2018-09-09,30
2018-09-10,108
2018-09-11,58
2018-09-12,84
2018-09-13,84
2018-09-14,72
2018-09-15,76
2018-09-16,48
2018-09-17,57
2018-09-18,69
2018-09-19,58
2018-09-20,54
2018-09-21,57
2018-09-22,39
2018-09-23,38
2018-09-24,50
2018-09-25,72
2018-09-26,87
2018-09-27,103
2018-09-28,48
2018-09-29,57
2018-09-30,58
2018-10-01,52
2018-10-02,75
2018-10-03,66
2018-10-04,57
2018-10-05,71
2018-10-06,51
2018-10-07,51
2018-10-08,60
2018-10-09,24
2018-10-10,63
2018-10-11,69
2018-10-12,36
2018-10-13,78
2018-10-14,33
2018-10-15,68
2018-10-16,57
2018-10-17,93
2018-10-18,84
2018-10-19,99
2018-10-20,73
2018-10-21,33
2018-10-22,74
2018-10-23,87
2018-10-24,77
2018-10-25,97
2018-10-26,41
2018-10-27,88
2018-10-28,27
2018-10-29,96
2018-10-30,171
2018-10-31,127
2018-11-01,45
2018-11-02,54
2018-11-03,62
2018-11-04,27
2018-11-05,66
2018-11-06,69
2018-11-07,75
2018-11-08,82
2018-11-09,69
2018-11-10,50
2018-11-11,18
2018-11-12,63
2018-11-13,67
2018-11-14,65
2018-11-15,87
2018-11-16,102
2018-11-17,57
2018-11-18,15
2018-11-19,33
2018-11-20,84
2018-11-21,63
2018-11-22,48
2018-11-23,63
2018-11-24,57
2018-11-25,30
2018-11-26,75
2018-11-27,56
2018-11-28,87
2018-11-29,81
2018-11-30,83
2018-12-01,35
2018-12-02,36
2018-12-03,36
2018-12-04,57
2018-12-05,66
2018-12-06,24
2018-12-07,52
2018-12-08,49
2018-12-09,36
2018-12-10,54
2018-12-11,78
2018-12-12,68
2018-12-13,39
2018-12-14,44
2018-12-15,60
2018-12-16,26
2018-12-17,42
2018-12-18,42
2018-12-19,32
2018-12-20,54
2018-12-21,52
2018-12-22,75
2018-12-23,73
2018-12-24,42
2018-12-25,12
2018-12-26,30
2018-12-27,42
2018-12-28,36
2018-12-29,45
2018-12-30,35
2018-12-31,92
2019-01-01,36
2019-01-02,84
2019-01-03,81
2019-01-04,91
2019-01-05,84
2019-01-06,48
2019-01-07,34
2019-01-08,69
2019-01-09,66
2019-01-10,50
2019-01-11,72
2019-01-12,60
2019-01-13,33
2019-01-14,100
2019-01-15,48
2019-01-16,51
2019-01-17,80
2019-01-18,54
2019-01-19,45
2019-01-20,54
2019-01-21,54
2019-01-22,79
2019-01-23,72
2019-01-24,42
2019-01-25,42
2019-01-26,63
2019-01-27,36
2019-01-28,57
2019-01-29,55
2019-01-30,62
2019-01-31,36
2019-02-01,57
2019-02-02,54
2019-02-03,48
2019-02-04,51
2019-02-05,86
2019-02-06,84
2019-02-07,69
2019-02-08,73
2019-02-09,102
2019-02-10,81
2019-02-11,88
2019-02-12,63
2019-02-13,72
2019-02-14,68
2019-02-15,54
2019-02-16,48
2019-02-17,48
2019-02-18,81
2019-02-19,83
2019-02-20,77
2019-02-21,59
2019-02-22,63
2019-02-23,42
2019-02-24,26
2019-02-25,78
2019-02-26,62
2019-02-27,42
2019-02-28,56
2019-03-01,54
2019-03-02,69
2019-03-03,50
2019-03-04,116
2019-03-05,130
2019-03-06,79
2019-03-07,30
2019-03-08,87
2019-03-09,54
2019-03-10,30
2019-03-11,58
2019-03-12,151
2019-03-13,124
2019-03-14,89
2019-03-15,78
2019-03-16,68
2019-03-17,57
2019-03-18,38
2019-03-19,39
2019-03-20,81
2019-03-21,48
2019-03-22,45
2019-03-23,36
2019-03-24,25
2019-03-25,78
2019-03-26,63
2019-03-27,57
2019-03-28,84
2019-03-29,78
2019-03-30,75
2019-03-31,30
2019-04-01,63
2019-04-02,90
2019-04-03,104
2019-04-04,95
2019-04-05,105
2019-04-06,92
2019-04-07,21
2019-04-08,57
2019-04-09,87
2019-04-10,51
2019-04-11,45
2019-04-12,91
2019-04-13,76
2019-04-14,39
2019-04-15,117
2019-04-16,109
2019-04-17,107
2019-04-18,93
2019-04-19,51
2019-04-20,48
2019-04-21,40
2019-04-22,78
2019-04-23,60
2019-04-24,63
2019-04-25,63
2019-04-26,66
2019-04-27,51
2019-04-28,24
2019-04-29,51
2019-04-30,60
2019-05-01,57
2019-05-02,81
2019-05-03,66
2019-05-04,90
2019-05-05,60
2019-05-06,89
2019-05-07,87
2019-05-08,60
2019-05-09,66
2019-05-10,75
2019-05-11,55
2019-05-12,34
2019-05-13,85
2019-05-14,68
2019-05-15,80
2019-05-16,75
2019-05-17,66
2019-05-18,60
2019-05-19,58
2019-05-20,81
2019-05-21,57
2019-05-22,99
2019-05-23,72
2019-05-24,75
2019-05-25,94
2019-05-26,75
2019-05-27,60
2019-05-28,81
2019-05-29,80
2019-05-30,120
2019-05-31,54
2019-06-01,72
2019-06-02,60
2019-06-03,118
2019-06-04,87
2019-06-05,102
2019-06-06,93
2019-06-07,64
2019-06-08,117
2019-06-09,54
2019-06-10,57
2019-06-11,87
2019-06-12,80
2019-06-13,99
2019-06-14,78
2019-06-15,58
2019-06-16,52
2019-06-17,88
2019-06-18,85
2019-06-19,96
2019-06-20,49
2019-06-21,116
2019-06-22,93
2019-06-23,42
2019-06-24,57
2019-06-25,62
2019-06-26,57
2019-06-27,87
2019-06-28,108
2019-06-29,150
2019-06-30,99
2019-07-01,101
2019-07-02,135
2019-07-03,98
2019-07-04,78
2019-07-05,67
2019-07-06,90
2019-07-07,54
2019-07-08,78
2019-07-09,81
2019-07-10,105
2019-07-11,72
2019-07-12,48
2019-07-13,66
2019-07-14,63
2019-07-15,77
2019-07-16,66
2019-07-17,41
2019-07-18,63
2019-07-19,75
2019-07-20,84
2019-07-21,48
2019-07-22,83
2019-07-23,65
2019-07-24,123
2019-07-25,105
2019-07-26,60
2019-07-27,83
2019-07-28,83
2019-07-29,93
2019-07-30,105
2019-07-31,163
2019-08-01,75
2019-08-02,94
2019-08-03,57
2019-08-04,79
2019-08-05,102
2019-08-06,69
2019-08-07,80
2019-08-08,72
2019-08-09,93
2019-08-10,114
2019-08-11,45
2019-08-12,86
2019-08-13,84
2019-08-14,110
2019-08-15,66
2019-08-16,75
2019-08-17,81
2019-08-18,75
2019-08-19,92
2019-08-20,87
2019-08-21,72
2019-08-22,106
2019-08-23,99
2019-08-24,102
2019-08-25,75
2019-08-26,65
2019-08-27,77
2019-08-28,130
2019-08-29,118
2019-08-30,69
2019-08-31,93
2019-09-01,75
2019-09-02,129
2019-09-03,123
2019-09-04,129
2019-09-05,84
2019-09-06,160
2019-09-07,184
2019-09-08,53
2019-09-09,62
2019-09-10,117
2019-09-11,49
2019-09-12,84
2019-09-13,93
2019-09-14,99
2019-09-15,59
2019-09-16,75
2019-09-17,66
2019-09-18,68
2019-09-19,72
2019-09-20,57
2019-09-21,97
2019-09-22,102
2019-09-23,100
2019-09-24,74
2019-09-25,80
2019-09-26,104
2019-09-27,108
2019-09-28,51
2019-09-29,68
2019-09-30,86
2019-10-01,90
2019-10-02,87
2019-10-03,97
2019-10-04,92
2019-10-05,72
2019-10-06,51
2019-10-07,99
2019-10-08,83
2019-10-09,82
2019-10-10,110
2019-10-11,75
2019-10-12,76
2019-10-13,243
2019-10-14,177
2019-10-15,113
2019-10-16,105
2019-10-17,87
2019-10-18,138
2019-10-19,67
2019-10-20,30
2019-10-21,117
2019-10-22,121
2019-10-23,78
2019-10-24,97
2019-10-25,181
2019-10-26,81
2019-10-27,63
2019-10-28,86
2019-10-29,75
2019-10-30,59
2019-10-31,72
2019-11-01,67
2019-11-02,93
2019-11-03,54
2019-11-04,74
2019-11-05,73
2019-11-06,84
2019-11-07,81
2019-11-08,68
2019-11-09,68
2019-11-10,39
2019-11-11,81
2019-11-12,75
2019-11-13,96
2019-11-14,100
2019-11-15,77
2019-11-16,49
2019-11-17,36
2019-11-18,64
2019-11-19,51
2019-11-20,39
2019-11-21,65
2019-11-22,104
2019-11-23,130
2019-11-24,66
2019-11-25,91
2019-11-26,60
2019-11-27,96
2019-11-28,117
2019-11-29,80
2019-11-30,96
2019-12-01,75
2019-12-02,115
2019-12-03,69
2019-12-04,100
2019-12-05,90
2019-12-06,62
2019-12-07,82
2019-12-08,48
2019-12-09,103
2019-12-10,65
2019-12-11,86
2019-12-12,90
2019-12-13,63
2019-12-14,54
2019-12-15,75
2019-12-16,87
2019-12-17,60
2019-12-18,60
2019-12-19,60
